family	order	class	phylum	kingdom	realm
Abyssoviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Ackermannviridae	Pantevenvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Adamaviridae	Rohanvirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Adenoviridae	Rowavirales	Pharingeaviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria
Aggregaviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Ahmunviridae	Maximonvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria
Ahpuchviridae	Nakonvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Aliceevansviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Alisviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Aliusviridae	Jingchuvirales	Monjiviricetes	Negarnaviricota	Orthornavirae	Riboviria
Alloherpesviridae	Herpesvirales	Herviviricetes	Peploviricota	Heunggongvirae	Duplodnaviria
Allomimiviridae	Imitervirales	Megaviricetes	Nucleocytoviricota	Bamfordvirae	Varidnaviria
Alphaflexiviridae	Tymovirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Alphagokushoviridae	Gokushovirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Alphaormycoviridae	Bormycovirales	Orpoviricetes		Orthornavirae	Riboviria
Alphasatellitidae					
Alphatetraviridae	Hepelivirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Alternaviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Altumviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Alvernaviridae	Sobelivirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Amalgaviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Orthornavirae	Riboviria
Ambiguiviridae	Tolivirales	Tolucaviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Amesuviridae	Mulpavirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Amnoonviridae	Articulavirales	Insthoviricetes	Negarnaviricota	Orthornavirae	Riboviria
Ampullaviridae					
Anaerodiviridae	Methanobavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Anamaviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Andersonviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Anelloviridae	Sanitavirales	Cardeaviricetes	Commensaviricota	Shotokuvirae	Floreoviria
Anicreviridae	Mulpavirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Aoguangviridae	Magrovirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Apasviridae	Magrovirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Arenaviridae	Hareavirales	Bunyaviricetes	Negarnaviricota	Orthornavirae	Riboviria
Arenbergviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Armatusviridae	Methanobavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Arteriviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Artiviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Artoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Orthornavirae	Riboviria
Ascoviridae	Pimascovirales	Megaviricetes	Nucleocytoviricota	Bamfordvirae	Varidnaviria
Asemoviridae	Vinavirales	Belvinaviricetes	Produgelaviricota	Abadenavirae	Varidnaviria
Asfarviridae	Asfuvirales	Pokkesviricetes	Nucleocytoviricota	Bamfordvirae	Varidnaviria
Aspiviridae	Naedrevirales	Milneviricetes	Negarnaviricota	Orthornavirae	Riboviria
Assalcaviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Assiduviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Astroviridae	Stellavirales	Stelpaviricetes	Pisuviricota	Orthornavirae	Riboviria
Atkinsviridae	Norzivirales	Leviviricetes	Lenarviricota	Orthornavirae	Riboviria
Autolykiviridae	Vinavirales	Belvinaviricetes	Produgelaviricota	Abadenavirae	Varidnaviria
Autonotataviridae	Autographivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Autoscriptoviridae	Autographivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Autosignataviridae	Autographivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Autotranscriptaviridae	Autographivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Avsunviroidae					
Bacilladnaviridae	Baphyvirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Baculoviridae	Lefavirales	Naldaviricetes			
Barnaviridae	Sobelivirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Bartogtaviriformidae					
Basaltiviridae					
Belpaoviridae	Ortervirales	Revtraviricetes	Artverviricota	Pararnavirae	Riboviria
Benyviridae	Hepelivirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Berryhillviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Betaflexiviridae	Tymovirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Betagokushoviridae	Gokushovirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Betaormycoviridae	Formycovirales	Orpoviricetes		Orthornavirae	Riboviria
Bicaudaviridae					
Bidnaviridae	Polivirales	Mouviricetes	Cossaviricota	Shotokuvirae	Floreoviria
Birnaviridae				Orthornavirae	Riboviria
Blefusviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Blumeviridae	Timlovirales	Leviviricetes	Lenarviricota	Orthornavirae	Riboviria
Bornaviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Orthornavirae	Riboviria
Botourmiaviridae	Ourlivirales	Miaviricetes	Lenarviricota	Orthornavirae	Riboviria
Botybirnaviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Brachygtaviriformidae					
Bromoviridae	Martellivirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Buchnerviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Burtonviroviridae	Priklausovirales	Virophaviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria
Caliciviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Carmotetraviridae	Tolivirales	Tolucaviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Casidaviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Casjensviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Caulimoviridae	Ortervirales	Revtraviricetes	Artverviricota	Pararnavirae	Riboviria
Chaacviridae	Coyopavirales	Belvinaviricetes	Produgelaviricota	Abadenavirae	Varidnaviria
Chaseviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Chicoviridae	Secretvirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Chimalliviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Chiyouviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria
Chrysoviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Chuviridae	Jingchuvirales	Monjiviricetes	Negarnaviricota	Orthornavirae	Riboviria
Circoviridae	Cirlivirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Clavaviridae					
Clermontviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Closteroviridae	Martellivirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Colingsworthviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Connertonviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Coronaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Corticoviridae	Vinavirales	Belvinaviricetes	Produgelaviricota	Abadenavirae	Varidnaviria
Cremegaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Crepuscuviridae	Jingchuvirales	Monjiviricetes	Negarnaviricota	Orthornavirae	Riboviria
Crevaviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Cruliviridae	Elliovirales	Bunyaviricetes	Negarnaviricota	Orthornavirae	Riboviria
Curvulaviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Orthornavirae	Riboviria
Cystoviridae	Mindivirales	Vidaverviricetes	Duplornaviricota	Orthornavirae	Riboviria
Dallocaviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Danacaviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Darmviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Deltaflexiviridae	Tymovirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Deltaormycoviridae	Bormycovirales	Orpoviricetes		Orthornavirae	Riboviria
Demerecviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Dicistroviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Discoviridae	Hareavirales	Bunyaviricetes	Negarnaviricota	Orthornavirae	Riboviria
Dishuiviroviridae	Priklausovirales	Virophaviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria
Draupnirviridae	Jormunvirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Drexlerviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Druskaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Duinviridae	Norzivirales	Leviviricetes	Lenarviricota	Orthornavirae	Riboviria
Dumbiviridae	Crytulvirales	Suforviricetes	Ambiviricota	Orthornavirae	Riboviria
Duneviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Ehrlichviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Ekchuahviridae	Nakonvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Endolinaviridae	Cirlivirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Endornaviridae	Martellivirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Epsomviridae	Grandevirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Eubullaviridae	Bullavirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Eupolintoviridae	Amphintovirales	Polintoviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria
Eurekaviridae					
Euroniviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Felixviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Fervensviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Fiersviridae	Norzivirales	Leviviricetes	Lenarviricota	Orthornavirae	Riboviria
Filamentoviridae	Lefavirales	Naldaviricetes			
Filoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Orthornavirae	Riboviria
Fimoviridae	Elliovirales	Bunyaviricetes	Negarnaviricota	Orthornavirae	Riboviria
