accession	taxid	realm	kingdom	phylum	class	order	family	genus	species	host	length_bp
NC_029549.1	1980428	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	2211
NC_029550.1	1980428	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1441
NC_029551.1	1980428	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1682
NC_029552.1	1980428	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1715
NC_029553.1	1980428	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1752
NC_029570.1	1980428	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	6981
NC_029554.1	1980428	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1434
NC_029555.1	1980428	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1339
NC_029558.1	1980431	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	2135
NC_029559.1	1980431	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1365
NC_029560.1	1980431	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1675
NC_029561.1	1980431	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1718
NC_029571.1	1980431	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1095
NC_029572.1	1980431	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1089
NC_029573.1	1980431	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1273
NC_029567.1	1980431	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	7062
NC_029562.1	1980427	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	7039
NC_029568.1	1980427	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1212
NC_029563.1	1980427	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1490
NC_029564.1	1980427	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1472
NC_029565.1	1980427	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	2252
NC_029566.1	1980427	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1752
NC_029556.1	1980429	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	2223
NC_029557.1	1980429	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1563
NC_029569.1	1980429	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1801
NC_029574.1	1980429	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	1442
NC_029575.1	1980429	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Fimoviridae	Emaravirus		eukaryote	7022
NC_029578.1	1714570	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	Sobemovirus	Sobemovirus BSSV	eukaryote	4020
NC_029617.1	1685755	Floreoviria	Shotokuvirae	Cressdnaviricota	Arfiviricetes	Gredzevirales	Gandrviridae	Satyrivirus	Satyrivirus cordulis	unknown	6380
NC_030691.1	1884917	Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Bornaviridae	Orthobornavirus	Orthobornavirus avisaquaticae	eukaryote	8904
NC_017862.1	940834	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyorhopapillomavirus	Dyorhopapillomavirus 1	eukaryote	7582
NC_017936.1	1185359	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus		eukaryote	7696
NC_017937.1	590647	Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Narmovirus	Narmovirus narivaense	eukaryote	15276
NC_017938.1	233784	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Nepovirus	Nepovirus deformationis	eukaryote	3753
NC_017939.1	233784	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Nepovirus	Nepovirus deformationis	eukaryote	7386
NC_029648.1	674996	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus gossypikokranense	eukaryote	2748
NC_017977.1	861561	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus cyrtanthi	eukaryote	9908
NC_017967.1	421010	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus hippeastri	eukaryote	9660
NC_017970.1	453050	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus duobatatae	eukaryote	10731
NC_017988.1	1183241	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae			eukaryote	1491
NC_017989.1	1183241	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae			eukaryote	1577
NC_017987.1	290090	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus sidaflavachinaense	eukaryote	2751
NC_017993.1	1070408	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 15	eukaryote	7293
NC_017994.1	1070409	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 11	eukaryote	7319
NC_029691.1	1809767	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	Polerovirus	Polerovirus IXYMAV	eukaryote	6017
NC_017916.1	1114942	Floreoviria	Shotokuvirae	Cressdnaviricota	Arfiviricetes	Cremevirales	Smacoviridae	Felismacovirus	Felismacovirus porci4	eukaryote	2459
NC_017914.1	1133751	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	Sobemovirus	Sobemovirus ARTVA	eukaryote	4138
NC_017917.1	1182518	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Mastrevirus	Mastrevirus bourbonense	eukaryote	2882
NC_017913.1	649996	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus solanumflavuscontorsionis	eukaryote	2589
NC_011348.1	649996	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus solanumflavuscontorsionis	eukaryote	2630
NC_017995.1	1070410	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 16	eukaryote	7236
NC_017996.1	1070413	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 11	eukaryote	7341
NC_017997.1	1070417	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 17	eukaryote	7271
NC_017990.1	1918014	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Botybirnaviridae	Botybirnavirus	Botybirnavirus ichi	eukaryote	6215
